CO_MUNICCO_MUNICCO_STATUCO_TIPO DS_NOME DS_NOMEPDS_OBSERCO_REGIACO_UF   CO_ALTERCO_ALTERIN_CAPITIN_AMAZLIN_SEMIAIN_FRONTDT_INSTADT_EXTINCO_SUCESNU_ORDEMNU_ORDMANU_LATITNU_LONGINU_ALTITNU_AREA
       0       0IGNOR   IGNOR   IgnoradoIGNORADOIgnorado,      ,       0,      ,,       N       N       N       N                                      8
  110000 1100000IGNOR   IGNOR   MunicipiMUNICIPIIgnorado       1      110,119999    0,12N       S       N       N                                      8
  150285 1502855ATIVO   MUNIC   Curua   CURUA                  1      15                N       S       N       N           1997                       1        -1,88993-55,1197       01431,104
  150290 1502905ATIVO   MUNIC   Curuca  CURUCA                 1      15                N       S       N       N           1933                       1         -0,7325-47,8513      37 672,614
  150293 1502939ATIVO   MUNIC   Dom ElisDOM ELISEU             1      15                N       S       N       N           1989                       1        -4,29078-47,5559     1805267,514
  150295 1502954ATIVO   MUNIC   EldoradoELDORADO DOS CAR       1      15                N       S       N       N           1993                       1        -6,10353 -49,374     1402956,708
  150300 1503002ATIVO   MUNIC   Faro    FARO                   1      15                N       S       N       S           1935                       1        -2,17298-56,7458      31 11766,5
  150304 1503044ATIVO   MUNIC   FlorestaFLORESTA DO ARAG       1      15                N       S       N       N           1997                       1         -7,5587-49,6976     1903444,251
  150307 1503077ATIVO   MUNIC   GarrafaoGARRAFAO DO NORT       1      15                N       S       N       N           1989                       1         -1,9317 -47,045      561604,355
  150309 1503093ATIVO   MUNIC   GoianesiGOIANESIA DO PAR       1      15                N       S       N       N           1993                       1        -3,84247 -49,101     1037021,191
  150310 1503101ATIVO   MUNIC   Gurupa  GURUPA                 1      15                N       S       N       N           1639                       1        -1,40492-51,6437      208540,032
  150320 1503200ATIVO   MUNIC   Igarape-IGARAPE-ACU            1      15                N       S       N       N           1906                       1        -1,12432-47,6224      50 785,976
  150330 1503309ATIVO   MUNIC   Igarape-IGARAPE-MIRI           1      15                N       S       N       N           1930                       1        -1,98312-48,9623      171996,823
  150340 1503408ATIVO   MUNIC   InhangapINHANGAPI              1      15                N       S       N       N           1943                       1        -1,42658-47,9134      35 471,145
  150345 1503457ATIVO   MUNIC   Ipixuna IPIXUNA DO PARA        1      15                N       S       N       N           1993                       1        -2,55753-47,4997      505216,948
  150350 1503507ATIVO   MUNIC   Irituia IRITUIA                1      15                N       S       N       N           1935                       1        -1,77147-47,4408      251379,523
  150360 1503606ATIVO   MUNIC   ItaitubaITAITUBA               1      15                N       S       N       N           1935                       1        -4,26373  -55,99      1562040,95
  150370 1503705ATIVO   MUNIC   ItupiranITUPIRANGA             1      15                N       S       N       N           1947                       1        -5,12884-49,3244      897879,995
  150375 1503754ATIVO   MUNIC   JacareacJACAREACANGA           1      15                N       S       N       N           1993                       1        -6,22355-57,7663      7053303,09
  150380 1503804ATIVO   MUNIC   Jacunda JACUNDA                1      15                N       S       N       N           1961                       1        -4,44841-49,1128     1082008,404
  150390 1503903ATIVO   MUNIC   Juruti  JURUTI                 1      15                N       S       N       N           1935                       1        -2,15525 -56,095      368303,966
  150400 1504000ATIVO   MUNIC   LimoeiroLIMOEIRO DO AJUR       1      15                N       S       N       N           1961                       1        -1,89195-49,3815      281490,172
  150405 1504059ATIVO   MUNIC   Mae Do RMAE DO RIO             1      15                N       S       N       N           1989                       1        -2,04771-47,5523      25 469,488
  150410 1504109ATIVO   MUNIC   MagalhaeMAGALHAES BARATA       1      15                N       S       N       N           1961                       1        -0,79585-47,5992      50 324,788
  150420 1504208ATIVO   MUNIC   Maraba  MARABA                 1      15                N       S       N       N           1913                       1        -5,35261 -49,142      8415092,27
  150430 1504307ATIVO   MUNIC   MaracanaMARACANA               1      15                N       S       N       N           1755                       1        -0,76242-47,4553      45 780,724
  150440 1504406ATIVO   MUNIC   MarapaniMARAPANIM              1      15                N       S       N       N           1931                       1        -0,71215-47,7025      40 791,959
  150442 1504422ATIVO   MUNIC   MaritubaMARITUBA               1      15                N       S       N       N           1997                       1        -1,34642-48,3405      18 103,279
  150445 1504455ATIVO   MUNIC   MedicilaMEDICILANDIA           1      15                N       S       N       N           1989                       1        -3,44542-52,8883     1518272,583
  150450 1504505ATIVO   MUNIC   Melgaco MELGACO                1      15                N       S       N       N           1961                       1        -1,80345-50,7175      126773,975
  150460 1504604ATIVO   MUNIC   MocajubaMOCAJUBA               1      15                N       S       N       N           1935                       1        -2,58287 -49,509      30   870,8
  150470 1504703ATIVO   MUNIC   Moju    MOJU                   1      15                N       S       N       N           1935                       1        -1,88589-48,7672      16 9093,85
  150475 1504752ATIVO   MUNIC   Mojui DoMOJUI DOS CAMPOS       1      15                N       S               N           2013                       1        -2,68472-54,6431      844988,236
  150480 1504802ATIVO   MUNIC   Monte AlMONTE ALEGRE           1      15                N       S       N       N           1755                       1        -2,00333-54,0734      3821703,03
  150490 1504901ATIVO   MUNIC   Muana   MUANA                  1      15                N       S       N       N           1833                       1        -1,53003-49,2168      223765,524
  150495 1504950ATIVO   MUNIC   Nova EspNOVA ESPERANCA D       1      15                N       S       N       N           1993                       1        -2,26763-46,9621       02809,984
